id,name,description,neighborhood_overview
1746666,Modern Hide-away near Zoo & Park,"Cozy, compact (400sf) 1 bed, 1 bath, ideal for two, but can accommodate up to 4 with the comfortable sofa bed (ideally 2 adults, with up to 2 young children, for brief stays).  Queen bed, plus sofa bed (Full).  Luxury equipped.  Large windows, stone, brick and beautiful wood floors.  Amazing use of space.  Top North Park location.  Walk everywhere!<br /><br /><b>The space</b><br />Our 1926 Spanish villa -- 'Villa Barajas' -- combines historic character with modern features. Enjoy an authentic local living experience, in luxury style, with the comforts of home! <br /><br />Your suite, one of five in our villa, is on an elevated first floor (‘parlor floor), about 5-6 steps up.  Overall, the feel is organic, clean lined, modern and very warm and inviting -- The French baker's table used for dining was made from reclaimed 19th century scaffolding.<br /><br />Gorgeous original hardwood floors, exposed brick, fine cabinetry and furnishings, deep Euro tub/shower, central heat/AC, washer and d","Forbes magazine named North Park as one of America's best hipster neighborhoods, noting that ""culturally diverse North Park is home to Craftsman cottages, cafes and diners, coffee shops, several microbreweries, boutiques, and the North Park Farmers Market. The North Park Theater and the Ray Street Arts District are also bastions of creativity in the area"" [10]<br /><br />The Los Angeles Times writes: ""North Park has all the ingredients for the cool school: It's culturally diverse and has art galleries, boutiques, trendy bars with handcrafted cocktails and local brews, and foodie-approved eateries."" [11]<br /><br />An eclectic and diverse array of restaurants, as well as independent coffee shops, can be found along the main arteries of 30th Street and University Avenue. The area is also dotted with bars and night clubs that cater to a wide diversity of patrons.<br /><br />Downtown North Park contains the Ray Street Arts District. Ray at Night is a gallery walk held the second Saturday o"
1750470,"Compact, Sexy, Modern for Two","Sunny, comfortable 1 bed-1 bath retreat for two (400sf) on second floor.  Has it all.  Luxury equipment.  Marble, stone, brick, beautiful wood floors.  The feel is urban, sexy, modern and minimalist.  Top North Park location.  Walk everywhere!<br /><br /><b>The space</b><br />A home away from home in North Park, #13 on Forbes' list of the 'hippest' neighborhoods in the US.   Our 1926 Spanish villa -- 'Villa Barajas' -- combines historic character with modern features. Enjoy an authentic local living experience, in luxury style, with the comforts of home! <br /><br />Your suite, one of five in our villa, is on the second floor.  Gorgeous original hardwood floors, large windows, exposed brick, fine cabinetry and furnishings, deep Euro tub/shower, central heat/AC, washer and dryer in suite, fully equipped kitchen and bath. <br /><br />We also provide amenities -- K-cup and French press coffee makers, beach towels, blow dryer, iron, luggage rack, shampoo and conditioner, shower gel, hand s","Forbes magazine named North Park as one of America's best hipster neighborhoods, noting that ""culturally diverse North Park is home to Craftsman cottages, cafes and diners, coffee shops, several microbreweries, boutiques, and the North Park Farmers Market. The North Park Theater and the Ray Street Arts District are also bastions of creativity in the area"" [10]<br /><br />The Los Angeles Times writes: ""North Park has all the ingredients for the cool school: It's culturally diverse and has art galleries, boutiques, trendy bars with handcrafted cocktails and local brews, and foodie-approved eateries."" [11]<br /><br />An eclectic and diverse array of restaurants, as well as independent coffee shops, can be found along the main arteries of 30th Street and University Avenue. The area is also dotted with bars and night clubs that cater to a wide diversity of patrons.<br /><br />Downtown North Park contains the Ray Street Arts District. Ray at Night is a gallery walk held the second Saturday o"
1751176,"2 Bed, 2 Bath Luxury in North Park","Two luxury 1 bedroom units are connected via a private vestibule, creating one floor-through flat (1150sf), with 2 bedrooms and 2 baths!  Fully equipped.  Beautiful wood floors, windows and light, 2 living rooms.  Sleeps up to 8 in 2 Queen beds and 2 Queen sofa beds.  Top North Park Location!  Walk everywhere!<br /><br /><b>The space</b><br />A home away from home in North Park, #13 on Forbes' list of the 'hippest' neighborhoods in the US. This 1926 historic Spanish villa ('Villa Barajas') combines old world charm with designer style and modern amenities.<br /><br />Perfect for families with teenagers, extended families, two couples (with or without children), and anyone who likes a bit of privacy and independence while still enjoying a shared accommodation. <br /><br />The connected suites boast fully renovated baths, remodeled kitchens with high end appliances and stone counters, comfortable dining areas and living/sitting rooms, custom cabinetry, exposed brick, central heat/AC, dish","Forbes magazine named North Park as one of America's best hipster neighborhoods, noting that ""culturally diverse North Park is home to Craftsman cottages, cafes and diners, coffee shops, several microbreweries, boutiques, and the North Park Farmers Market. The North Park Theater and the Ray Street Arts District are also bastions of creativity in the area"" [10]<br /><br />The Los Angeles Times writes: ""North Park has all the ingredients for the cool school: It's culturally diverse and has art galleries, boutiques, trendy bars with handcrafted cocktails and local brews, and foodie-approved eateries."" [11]<br /><br />An eclectic and diverse array of restaurants, as well as independent coffee shops, can be found along the main arteries of 30th Street and University Avenue. The area is also dotted with bars and night clubs that cater to a wide diversity of patrons.<br /><br />Downtown North Park contains the Ray Street Arts District. Ray at Night is a gallery walk held the second Saturday o"
1751254,Romantic & Walkable in North Park,"Very sunny, spacious one bedroom (750sf) with small balcony on 2nd floor.  Bedroom with Queen bed, large living room with Queen sofa bed (comfy air mattress topper).  Renovated, Retro style kitchen and bath.  Cozy dining area.  Gorgeous hardwood floors!  Top North Park Location!<br /><br /><b>The space</b><br />A home away from home in North Park, #13 on Forbes' list of the 'hippest' neighborhoods in the US. This 1926 historic Spanish villa ('Villa Barajas') combines old world charm with designer style and modern amenities.  <br /><br />Your suite, one of 5 in our villa, is fully equipped with central heat/AC, 2 smart TVs (enjoy Netflix, Hulu and Pandora), WIFI, phone, washer/dryer, top notch appliances, towels and linens, everything else you need to cook, dine and relax.  Lovingly cared for and meticulously clean. <br /><br />We also provide amenities -- K-cup and French press coffee makers, beach towels, blow dryer, iron/ironing board, luggage rack, shampoo and conditioner, shower ge","Forbes magazine named North Park as one of America's best hipster neighborhoods, noting that ""culturally diverse North Park is home to Craftsman cottages, cafes and diners, coffee shops, several microbreweries, boutiques, and the North Park Farmers Market. The North Park Theater and the Ray Street Arts District are also bastions of creativity in the area"" [10]<br /><br />The Los Angeles Times writes: ""North Park has all the ingredients for the cool school: It's culturally diverse and has art galleries, boutiques, trendy bars with handcrafted cocktails and local brews, and foodie-approved eateries."" [11]<br /><br />An eclectic and diverse array of restaurants, as well as independent coffee shops, can be found along the main arteries of 30th Street and University Avenue. The area is also dotted with bars and night clubs that cater to a wide diversity of patrons.<br /><br />Downtown North Park contains the Ray Street Arts District. Ray at Night is a gallery walk held the second Saturday o"
1752549,Mid-Centry OBcean,"This is a very light and bright space. It was built in 1932 and has a ton of character. I just remodeled it and added all the modern conveniences and decor. The kitchen is spacious and has all that you need to prepare a great meal.<br /><br /><b>The space</b><br />The property is centrally located and close to all the main attractions that San Diego is famous for (ie Sea World, Balboa Park, San Diego Zoo, etc) ***Highchair, stroller, pack and play and more kids stuff can be made available if you need it*** This vacation rental is in ocean beach, and close to all; mission beach, la jolla, pacific beach, downtown San Diego, Del Mar. With this vacation rental enjoy the relaxed lifestyle that ocean beach has to offer. Pacific beach, Mission Bea<br /><br /><b>Guest access</b><br />Guests have private access to the entire home, patio, parking etc<br /><br /><b>Other things to note</b><br />I live in the area and know great recommendations. Just let me know if you need anything.",Ocean Beach has so much to offer from local restaurants to the beautiful nature trails of Sunset Cliffs Nature Park. All of these attraction are within walking distance of the casita. The property is also centrally located and provides easy access in and out of OB. This especially handy with the beach traffic get a little crazy.
1752551,Historic 2 Bdrm OB Spanish Casita,"Step back in time with this charming historic beach casita, while enjoying all the modern conveniences that you deserve while on vacation. There is also a large bonus/media room off of the backyard, washer/dryer and parking.<br /><br /><b>The space</b><br />Just a short stroll to the beach and steps away from great restaurants, you won't have any trouble finding something to do. If you are looking to relax and unwind, this charming casita is the place to do it. With over 700 sq feet of outdoor living space including a charming Spanish Satillo patio finished off with lush vegetation. There is no shortage of charm here. The living room is very spacious and perfect for all to socialize and reflect after a day of fun in the sun. The kitchen featuring stainless steel appliances and concrete counters is awaiting your arrival. The kitchen has every cooking utensil you need to cook a gourmet meal. The property is centrally located and close to all the main attractions that San Diego is famous ",Ocean Beach has so much to offer from local restaurants to the beautiful nature trails of Sunset Cliffs Nature Park. All of these attraction are within walking distance of the casita. The property is also centrally located and provides easy access in and out of OB. This especially handy with the beach traffic get a little crazy.
1758781,"Room, Bath, Garage in Mission Beach.","Private room with queen size bed(Sealy) and oceanview, access to balcony, private bathroom, all on third floor, plus a garage for your car. Access to Wi-Fi. 23 steps to the sandy beach. Good restaurants within walking distance. 13 car minutes to San Diego Downtown and Airport. Lively beach activities. Fresh coffee. No pets.<br /><br /><b>The space</b><br />Easy access to private bed room and bathroom on third floor. Bedroom has clear view of beach and ocean, attached to bedroom is a balcony with table,  chairs and umbrella. Car can be parked safely in closed garage. Beachfront access, beach is just steps away.<br /><br /><b>Guest access</b><br />Garage, private bathroom with shower/bath and fresh towels. Bedroom with new queen size (Sealy) bed and storage cabinets. Wi-Fi  included. Access to living room with table and chairs, couch, TV, kitchen access is limited(please ask), microwave, toaster, refrigerator are accessible.<br /><br /><b>Other things to note</b><br />This is a 3 bedroom","The neighborhood is part of a lively beach community with beautiful views. There is lots of space for outdoor activities like walking, running, swimming, biking, surfing. Belmont Park and the Roller-coaster are within walking distance, so are restaurants and beach bars. The community of Pacific Beach and Sea-world are 5 minutes away by car, downtown can be reached within 10 minutes. La Jolla is 15 minutes to the North."
1762939,Mediterranean style private room in La Jolla area,"Experience ""the jewel"" of San Diego. La Jolla Village Square Shopping Center, La Jolla is for all who seek ""just for me"" instead of ""me, too"". Here, you'll find the priceless and the popular. The haute couture and the comfortably familiar. The world's most luxurious brands and the everyday values.<br /><br /><b>Guest access</b><br />Guess will have access to washer and dryer, internet, parking outside to complex, kitchen and patio. If guests have any questions/concerns, I  will be more than happy to help. Please check our previous reviews.","Near 5 Scripps Hospitals, Walk to UTC Mall, wonderful Costa Verde Shopping Center, Bristol Farms Market, shops, and restaurants! minutes to major high ways - I-5 / I-15 and 805."
1764155,Bird Rock Cottage - La Jolla,"This little cottage is tucked way in one of the best neighborhoods in San Diego. The house has 3 bedrooms and 2 baths and is well lived in.  We love hosting family and friends. In 2018 we completed a small renovation - refinished floors and new kitchen + a laundry room!<br /><br />Bird Rock is set between Pacific Beach and La Jolla. There are walkable shops and eateries nearby-- and one of the best sunset views at the end of Bird Rock Avenue.<br /><br /><b>The space</b><br />Wonderful Ocean Cottage 6 Blocks from the ocean. Located in the heart of the Bird Rock neighborhood in south La Jolla. Walking distance to beaches, coffee shops, restaurants, bars, and shops. Located in a wonderful, quiet neighborhood.<br /><br />House is an open design. A new remodel has allowed us to refinish the original 1940s wood floors and add a new kitchen. <br /><br />There is a great room - TV, living and music areas, 1 master bedroom with bathroom, and down the hallway there is the second bathroom with 2 ","This is a quiet, family friendly neighborhood. It is walkable, bikeable and a great place to be. There is coffee, food, and adventures just a few blocks away.<br /><br />Grocery store options are Gelson’s (super close), Valley Farms (small, local specialty), Vons in La Jolla, Trader Joe's in Pacific Beach, and La Jolla Open Aire Market (at LJ Elementary School Sunday’s 8:30-1pm)."
1774025,Sun & Serenity,"California King bed, fireplace, pool view, ceiling fan, AC,TV, WIFI, pool, spa, private full bath. <br />Not handicap friendly (stairs) <br />Adults only<br />No pets allowed<br />Located 1 mile from, hiking, biking, walking & golf course. <br />3 mi from 2 main highways, 3mi-SDSU, 14 miles from beaches.<br /><br /><b>The space</b><br />Large Room with a view, private patio, fireplace, TV, WIFI, ceiling fan, lots of sunlight.<br /><br />This is a townhome with stairs. Room is on third floor. <br /><br />Not handicap accessible<br /><br />There is not a private entry other than access via the front door<br /><br /><b>Guest access</b><br />washer/dryer<br />Full access to kitchen<br />Refrigerator <br />Pool/spa<br />Beach towels/beach bag/umbrella/beach chairs<br />Cooler<br />Iron/ironing board<br /><br />Garage parking<br /><br /><b>Other things to note</b><br />No pets please<br />No children or infants please<br />Free street parking",Peaceful & quiet neighborhood
